Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweets Number
CBS,Wed May 16 22:56:23 +0000 2018,"When decorated former Navy SEAL Thomas Magnum returns home to Hawaii, he embarks on a new mission: solving cases in… https://t.co/6n2MWY3c2f",0.34,0.112,0.888,0.0,31
CBS,Wed May 16 22:56:23 +0000 2018,The ordinary turns extraordinary for this suburban couple when an exuberant young pop star unexpectedly moves in wi… https://t.co/9xaAUSm5nm,0.5859,0.174,0.826,0.0,32
CBS,Wed May 16 22:56:23 +0000 2018,An outspoken atheist's life takes a surprising turn when he accepts a social media friend request from God! Watch w… https://t.co/EbVbL0SNDk,0.8398,0.4,0.6,0.0,33
CBS,Wed May 16 22:56:23 +0000 2018,"When danger threatens the nation, these elite agents risk their lives to keep it safe. Join them on the case when n… https://t.co/LuSY0jXBf9",-0.4588,0.163,0.577,0.26,34
CBS,Wed May 16 22:56:22 +0000 2018,Meet the new shows coming to CBS this fall!,0.0,0.0,1.0,0.0,35
CBS,Wed May 16 21:46:07 +0000 2018,So much TV to love! ❤️ Be sure to follow the shows of the CBS 2018-2019 primetime lineup and stay up-to-date on the… https://t.co/lQwGtznj5i,0.7777,0.236,0.764,0.0,36
CBS,Wed May 16 18:05:27 +0000 2018,"Every mission leaves its mark. Join us in the final mission to avenge Echo Team's deaths, tonight at 9/8c during th… https://t.co/SlfprTVDgD",0.296,0.095,0.905,0.0,37
CBS,Wed May 16 13:52:57 +0000 2018,"Get ready for three new comedies, five new dramas and the return of the critically acclaimed @MurphyBrownCBS. Here'… https://t.co/alHwUTRFKh",0.6369,0.234,0.766,0.0,38
CBS,Wed May 16 13:24:14 +0000 2018,"RT @happytogether: When an international pop star moves into your house, life gets a little more interesting! @wayansjr, @AmberoniStevens a…",0.46,0.143,0.857,0.0,39
CBS,Wed May 16 13:23:26 +0000 2018,"RT @TheNeighborhood: You can’t pick your neighbors, but Calvin sure wishes he could! @CedEntertainer stars in the new comedy #TheNeighborho…",0.8122,0.33,0.67,0.0,40
CBS,Tue May 15 20:16:38 +0000 2018,Tonight's the night - Agent Dwayne Pride's fate will be revealed. Don't miss the special two-hour season finale of… https://t.co/52amkSiNcA,-0.2057,0.07,0.821,0.109,41
CBS,Mon May 14 20:59:11 +0000 2018,"Donuts down, hands up! Get ready for a dramatic turn on the finale of @SuperiorDonuts TONIGHT at 9/8c. 🍩https://t.co/f5VSqOlRYu",0.4199,0.141,0.859,0.0,42
CBS,Mon May 14 18:17:23 +0000 2018,"RT @MagnumPICBS: Thomas Magnum is back on the case! @jay_hernandez stars in #MagnumPI, coming to #CBS. https://t.co/R1aURqMawD",0.0,0.0,1.0,0.0,43
CBS,Mon May 14 18:16:12 +0000 2018,"RT @GodFriendedMe: You never know who's going to send you a friend request. #GodFriendedMe, the new drama series starring @hall_m_brandon a…",0.4939,0.144,0.856,0.0,44
CBS,Mon May 14 18:15:36 +0000 2018,RT @TheRedLineCBS: Three Chicago families’ lives converge in the wake of a mistaken shooting. From acclaimed producers @ava and @GBerlanti…,-0.3612,0.0,0.878,0.122,45
CBS,Mon May 14 18:15:08 +0000 2018,"RT @FamCBS: No family is perfect, especially this #FAM! @ninadobrev, @toneBell and @odessaadlon star in the new #CBS comedy #FAM. https://t…",0.6476,0.243,0.674,0.082,46
CBS,Mon May 14 18:14:46 +0000 2018,"RT @TheCodeCBS: Their code is honor, courage and commitment. They pursue military justice at home and abroad. #TheCode coming to #CBS. http…",0.9081,0.408,0.592,0.0,47
CBS,Mon May 14 18:14:22 +0000 2018,RT @FBICBS: Meet the FBI agents who are investigating the most dangerous cases threatening our nation. From Emmy Winner Dick Wolf and the t…,-0.762,0.111,0.586,0.303,48
CBS,Mon May 14 18:13:58 +0000 2018,RT @MurphyBrownCBS: The ground-breaking comedy returns. #MurphyBrown coming to #CBS. https://t.co/di8GXoVPjh,0.3612,0.2,0.8,0.0,49
CBS,Mon May 14 14:42:00 +0000 2018,RT @StrangeAngel: Play with fire. 🔥 #StrangeAngel launches June 14 on #CBSAllAccess. https://t.co/xiFSkVz1vB https://t.co/Aw3kGeHyj4,0.0,0.152,0.696,0.152,50
CBS,Sun May 13 13:16:14 +0000 2018,"Happy #MothersDay to the moms who comfort us, understand us, and keep us centered. We ❤️ you. https://t.co/4YDmZrTGIC",0.7351,0.279,0.721,0.0,51
CBS,Fri May 11 23:00:40 +0000 2018,The more the merrier! CBS has ordered five more shows that just might become your new favorites next season:… https://t.co/2g5OSj2xPu,0.7245,0.252,0.748,0.0,52
CBS,Fri May 11 20:55:08 +0000 2018,Thinking about the @BlueBloods_CBS season finale like… Don’t miss the surprising reveal TONIGHT at 10/9c. https://t.co/8ExkPFpnFj,0.128,0.119,0.791,0.09,53
CBS,Thu May 10 23:11:17 +0000 2018,"Double the @MomCBS, double the fun! Anyone else feel like they hit the jackpot with the back-to-back Season Finale… https://t.co/ebq8WJLKGf",0.7263,0.253,0.747,0.0,54
CBS,Thu May 10 19:24:10 +0000 2018,"2 suitors, 1 Meemaw and 1 Sheldon. You won’t want to miss the season finale of @YoungSheldon tonight at 8:30/7:30c. https://t.co/Hht2yRE7ly",-0.0772,0.069,0.847,0.085,55
CBS,Thu May 10 18:03:26 +0000 2018,Broadway's Biggest Night is around the corner! Who are you hoping to see? #TonyAwards2018 ✨ https://t.co/KLT8QCxWcK,0.4753,0.181,0.819,0.0,56
CBS,Thu May 10 15:30:40 +0000 2018,"The big day is finally here, and you’re invited. 👰 Make sure to tune in to the @bigbangtheory’s star-studded #ShAmy… https://t.co/la9E6tvQ5b",0.3182,0.108,0.892,0.0,57
CBS,Wed May 09 21:35:00 +0000 2018,"Before the #ShAmy wedding tomorrow, the @bigbangtheory stars &amp; special guests play a game of ""yay or nay"" with thes… https://t.co/ZpCM16qOyT",0.8176,0.333,0.667,0.0,58
CBS,Wed May 09 19:36:24 +0000 2018,Get ready for more laughs! Learn more about the two new comedies coming to CBS: https://t.co/cpT3fd2RH5 https://t.co/NGrcp803zW,0.8395,0.391,0.609,0.0,59
CBS,Tue May 08 22:26:55 +0000 2018,"Goodbyes are never easy.  After 15 seasons, don’t miss Abby’s final episode of @NCIS_CBS tonight at 8/7c.  https://t.co/GTGj2YRJA1",-0.4599,0.0,0.8,0.2,60
CBS,Tue May 08 19:55:32 +0000 2018,Will you be watching the @BullCBS Season 2 Finale tonight at 9/8c? RT if your answer is yes! https://t.co/OxnyEDVsKj,0.4574,0.15,0.85,0.0,61
CBS,Tue May 08 17:18:20 +0000 2018,RT @thegoodfight: Listening to #QueenBaranski read fan tweets is like poetry. 😍 Warning: this video will give you ALL the feels. ☺️❤️ #TheG…,0.34,0.183,0.725,0.092,62
CBS,Mon May 07 17:50:20 +0000 2018,"RT @KevinCanWaitCBS: Season 2 of #KevinCanWait comes to a close tonight, and @KevinJames and @LeahRemini have A LOT to say about it. https:…",0.0,0.0,1.0,0.0,63
CBS,Fri May 04 21:00:00 +0000 2018,Spend your Friday night with this dynamic duo! Tune in to the season finale of @MacGyverCBS at 8/7c on CBS and CBS… https://t.co/AfWUVo4GSu,0.5093,0.13,0.87,0.0,64
CBS,Fri May 04 18:42:12 +0000 2018,RT @undercover_cbs: Get ready for the series premiere of #CelebrityBoss in just seven days! How would you react if your favorite celebrity…,0.6996,0.225,0.775,0.0,65
CBS,Fri May 04 14:48:42 +0000 2018,The force is strong on the set of @bigbangtheory! #MayThe4thBeWithYou https://t.co/uYyXKtuVCM,0.5562,0.264,0.736,0.0,66
CBS,Wed May 02 19:04:01 +0000 2018,RT @thegoodfight: The fight's not over yet. #TheGoodFight is renewed for Season 3. https://t.co/gUrDeA5KQP,0.0,0.0,1.0,0.0,67
CBS,Tue May 01 23:10:50 +0000 2018,RT @TKOCBS: Both @hwventure and @janemun have been named Executive Producers and showrunners of #TKO: TOTAL KNOCK OUT! Learn more about the…,0.0,0.0,1.0,0.0,68
CBS,Tue May 01 17:58:51 +0000 2018,"RT @StrangeAngel: Sex. Magick. Rocket Science. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/I3sqWMASxl https://t.co…",0.0,0.0,1.0,0.0,69
CBS,Tue May 01 15:16:28 +0000 2018,"Broadway's Biggest Night will honor the best in theatre on Sunday, June 10! Here are the nominees for the… https://t.co/tCiNaLGIvq",0.8268,0.299,0.701,0.0,70
CBS,Mon Apr 30 22:54:18 +0000 2018,We congratulate all of our CBS #DaytimeEmmy Award winners! Check out the stars who joined @TheTalkCBS hosts to cele… https://t.co/JfUFINmYGH,0.8777,0.373,0.627,0.0,71
CBS,Mon Apr 30 13:28:01 +0000 2018,RT @KevinJames: Getting the band back together @AdamSandler @chrisrock @MikeDelguidice1 @KevinCanWaitCBS #KevinCanWait https://t.co/Mo5EWck…,0.0,0.0,1.0,0.0,72
CBS,Mon Apr 30 02:22:08 +0000 2018,See all of the stunning fashion looks from the @CBSDaytime stars on the #DaytimeEmmys red carpet:… https://t.co/iJN1ssGPvZ,0.3818,0.14,0.86,0.0,73
CBS,Sun Apr 29 15:30:00 +0000 2018,The 45th annual #DaytimeEmmys are here! Congratulations to all of the wonderful @CBSDaytime stars and shows nominat… https://t.co/xZhDSYnxL6,0.8356,0.33,0.67,0.0,74
CBS,Thu Apr 26 23:40:24 +0000 2018,These stars are going undercover for #CelebrityBoss! Find out more about Celebrity @undercover_cbs premiering May 1… https://t.co/Deyn76ADT9,0.0,0.0,1.0,0.0,75
CBS,Wed Apr 25 21:48:49 +0000 2018,"New courage. New hope. New season. 

Season 3 of @CodeBlackCBS premieres TONIGHT at 10/9c on CBS! https://t.co/rR8xUCKlzI",0.75,0.313,0.687,0.0,76
CBS,Wed Apr 25 18:09:50 +0000 2018,Celebrate #DNADay by letting your forensic flag fly and revisit some classic episodes of @CSI_CBS on CBS All Access… https://t.co/YCbHDK2r4b,0.5719,0.163,0.837,0.0,77
CBS,Wed Apr 25 16:55:33 +0000 2018,"Get ready for big reveals, dramatic conclusions, and huge guest stars! Find out more about the 2017-2018 season fin… https://t.co/xcBChnjEvH",0.6239,0.221,0.779,0.0,78
CBS,Mon Apr 23 21:03:22 +0000 2018,Who’s ready to see these moves? 🕺 Tune in to the @latelateshow’s Carpool Karaoke Primetime Special TONIGHT at 10/9c! https://t.co/gjrURqXaPN,0.6696,0.244,0.756,0.0,79
CBS,Sun Apr 22 16:00:03 +0000 2018,"The 53rd #ACMawards turned into one big party when @KeithUrban and @juliamichaels performed their upbeat single ""Co… https://t.co/Q3Zj3EzuNs",0.4019,0.137,0.863,0.0,80
CBS,Fri Apr 20 22:00:01 +0000 2018,A blind date was all it took. Learn more about Meghan Markle and her road to royalty from the people who know her b… https://t.co/fEAMUblPQ4,-0.4019,0.0,0.895,0.105,81
CBS,Fri Apr 20 17:34:37 +0000 2018,RT @carrieunderwood: ICYMI! Watch Carrie’s performance of #CryPretty from the #ACMawards below! -TeamCU https://t.co/T9I3ko2xFu,0.0,0.0,1.0,0.0,82
CBS,Thu Apr 19 20:00:00 +0000 2018,There's a new addition to the cast of the upcoming revival of Murphy Brown!  Learn more about Tyne Daly's character… https://t.co/ijSXSLyDaR,0.0,0.0,1.0,0.0,83
CBS,Thu Apr 19 19:00:02 +0000 2018,"Country superstar @LukeBryanOnline delivers his moving anthem ""Most People Are Good"" at the 53rd #ACMawards:… https://t.co/GhhAsEDqmq",0.4877,0.174,0.826,0.0,84
CBS,Thu Apr 19 17:08:44 +0000 2018,"Coming to CBS All Access June 14, #StrangeAngel is inspired by the real life story of Jack Parsons and explores the… https://t.co/IsPrXRNXye",0.4939,0.132,0.868,0.0,85
CBS,Wed Apr 18 21:00:01 +0000 2018,When you realize there are TWO episodes of @CrimMinds_CBS tonight! 👏 Who’s ready for the double-episode season fina… https://t.co/CWVAHHeIGr,0.4199,0.141,0.859,0.0,86
CBS,Wed Apr 18 18:57:45 +0000 2018,Giving you even more reasons to celebrate! 🎉 See which CBS series are back for another year: https://t.co/O2LI0eJXTA https://t.co/H436kL1jSK,0.7688,0.294,0.706,0.0,87
CBS,Wed Apr 18 17:00:03 +0000 2018,"Watch country star @blakeshelton belt out his beautiful ballad ""I Lived It"" at the 53rd #AMCawards:… https://t.co/w0WRmpQ6fk",0.5994,0.196,0.804,0.0,88
CBS,Wed Apr 18 15:14:39 +0000 2018,RT @joshgroban: I AM SO HAPPY I COULD CRY BUT ITS MIDNIGHT IN JAPAN SO I WILL SLEEP BUT ‼️‼️‼️‼️👫🏆🎭😭🔜 #TonyAwards2018 https://t.co/NLss47K6…,0.0903,0.14,0.736,0.125,89
CBS,Wed Apr 18 15:10:34 +0000 2018,Broadway stars @SaraBareilles and @joshgroban will host @TheTonyAwards on June 10! Hear how these multi-talented ar… https://t.co/jy52FKd7t0,0.0,0.0,1.0,0.0,90
CBS,Tue Apr 17 00:26:33 +0000 2018,Can you believe it’s been 11 years since @taylorswift13’s first-ever performance at the #ACMawards?! Look back at t… https://t.co/QHSPuJLLFb,0.0,0.0,1.0,0.0,91
CBS,Mon Apr 16 23:00:02 +0000 2018,Waiting for the @ScorpionCBS season finale to start like… Tune in at 10/9c! https://t.co/peoDXtO707,0.0,0.0,1.0,0.0,92
CBS,Mon Apr 16 17:00:04 +0000 2018,Cast your vote! #ACMawards https://t.co/57ZN5gr6Y1,0.0,0.0,1.0,0.0,93
CBS,Mon Apr 16 16:02:49 +0000 2018,RT @CBSTweet: #CBSRatingsNews: #ACMawards Dominate on #CBS.  Over 12 million Total Viewers.  +11% year to year increase!  Biggest audience…,0.2714,0.123,0.806,0.071,94
CBS,Mon Apr 16 15:00:02 +0000 2018,"In case you missed it, watch the entire #ACMawards now: https://t.co/P3pgMJE2oh https://t.co/OOG2R0Mb4J",-0.296,0.0,0.833,0.167,95
CBS,Mon Apr 16 06:11:41 +0000 2018,Relive a night of all-star country music performances and epic wins at the #ACMawards. Stream the entire show:… https://t.co/iA3SMVIhpA,0.5719,0.179,0.821,0.0,96
CBS,Mon Apr 16 06:00:00 +0000 2018,Multiple ACM Award Winners @KeithUrban and @carrieunderwood just added one more trophy to their collection with the… https://t.co/rMGCzOeJQK,0.765,0.292,0.708,0.0,97
CBS,Mon Apr 16 05:55:00 +0000 2018,That's a wrap for the 53rd #ACMawards! 🎬 https://t.co/jM0HKud3d6,0.0,0.0,1.0,0.0,98
CBS,Mon Apr 16 05:30:00 +0000 2018,"To all of tonight's nominees, we tip our hats to you! 🤠 #ACMawards https://t.co/eytEezfIgS",0.0,0.0,1.0,0.0,99
CBS,Mon Apr 16 05:00:00 +0000 2018,Retweet if you think @carrieunderwood looks beautiful tonight! #ACMawards https://t.co/sqefiLBcXd,0.636,0.318,0.682,0.0,100
BBC,Wed Jun 06 20:44:01 +0000 2018,"Tonight, award-winning writer Jeanette Winterson asks what we can learn from the Suffragette movement of a century… https://t.co/K9P2GuRy7X",0.0,0.0,1.0,0.0,1
BBC,Wed Jun 06 20:04:00 +0000 2018,Comedian @JordBrookes joins @SusanCalman for #MrsBrightside - her brand new podcast about mental health from the po… https://t.co/nIvQ5c2NNT,0.3818,0.14,0.86,0.0,2
BBC,Wed Jun 06 19:03:03 +0000 2018,"Tonight, #OurGirl actress @michkeegan uncovers some exceptional women on her family tree. 🙋💕

Who Do You Think You… https://t.co/HDwdTyTqIw",0.0,0.0,1.0,0.0,3
BBC,Wed Jun 06 18:03:04 +0000 2018,No leaks (and better orgasms) - what you need to know about your pelvic floor. https://t.co/m8pGrbm71M,0.1779,0.16,0.718,0.122,4
BBC,Wed Jun 06 17:02:09 +0000 2018,"74 years on from D-Day, these infrared photos show WW2 bunkers in new light. 📷 
https://t.co/Dn2XKQ5jtZ https://t.co/Rqm91pIfj4",0.0,0.0,1.0,0.0,5
BBC,Wed Jun 06 16:00:01 +0000 2018,"There are more than 110,000 gang members in Honduras and they're tearing the country apart. https://t.co/ZF9M0iAvzb",0.0,0.0,1.0,0.0,6
BBC,Wed Jun 06 13:02:05 +0000 2018,From a French novel about the Burundi genocide to a Chilean mystery: add these titles to your book shelf this month… https://t.co/T9AG8kvoPG,0.3182,0.108,0.892,0.0,7
BBC,Wed Jun 06 12:21:20 +0000 2018,"RT @BBC_ARoadshow: Fiona discovers more about suffragette Emily Wilding Davison, who died after throwing herself in front of the King's hor…",-0.5574,0.0,0.847,0.153,8
BBC,Wed Jun 06 12:03:06 +0000 2018,"Ethan Hawke relives the time when one of his co-stars DIED on stage. #TheGNShow

https://t.co/XIG2Y8OA7m",-0.6523,0.0,0.764,0.236,9
BBC,Wed Jun 06 11:02:02 +0000 2018,"In 1993, Steven Spielberg's film Jurassic Park defined dinosaurs for an entire generation... but does it make scien… https://t.co/wLK4pyl9pv",0.0,0.0,1.0,0.0,10
BBC,Wed Jun 06 10:01:40 +0000 2018,"RT @BBCSpringwatch: Ever heard a beatboxing starling? 🔊 🔊

#Springwatch https://t.co/NC52eJ4MX0",0.0,0.0,1.0,0.0,11
BBC,Wed Jun 06 08:55:39 +0000 2018,RT @bbcthree: Madame Poole has been ballet dancing for an astounding seven decades. #HearHer https://t.co/X6ltLoANl7,0.4215,0.167,0.833,0.0,12
BBC,Wed Jun 06 08:55:13 +0000 2018,RT @BBCTwo: What if @BBCSpringwatch did #LoveIsland...? 💚😂 https://t.co/V7loYt8gpl,0.0,0.0,1.0,0.0,13
BBC,Wed Jun 06 08:55:07 +0000 2018,"RT @BBCFOUR: Here's a sneak preview of our brand new drama #Hidden. Starts Saturday, 9pm, @BBCFour. https://t.co/cibPD1hzr3 https://t.co/te…",0.0,0.0,1.0,0.0,14
BBC,Wed Jun 06 08:02:01 +0000 2018,"When Mona began to lose her sight, her 84-year-old husband did something amazing for her... 💅💄❤️️

https://t.co/Qle1eoBU5x",0.2732,0.177,0.698,0.126,15
BBC,Wed Jun 06 07:31:01 +0000 2018,"We're all familiar with that sinking, nagging feeling we get when we realise we have made the wrong choice. 😟

But… https://t.co/NPYZY5U43f",-0.6486,0.059,0.711,0.229,16
BBC,Wed Jun 06 07:04:04 +0000 2018,"📻🐫🦅🐼🦈 @GregJames has got a new co-host!

Sir David Attenborough becomes a @BBCR1 DJ at 5pm today... 

https://t.co/zHHtjBZZ9v",0.0,0.0,1.0,0.0,17
BBC,Tue Jun 05 19:25:03 +0000 2018,"'The problem with plastic is that it never goes away. It doesn't decompose. It defies nature.' 
#WorldEnvironmentDay https://t.co/Tkmj9qXzlK",-0.4019,0.0,0.863,0.137,18
BBC,Tue Jun 05 19:02:05 +0000 2018,"#OurGirl is back and heading to Nigeria in the fight against terror. 

Our Girl | 9pm | @BBCOne |… https://t.co/epbhcujexD",-0.7184,0.0,0.727,0.273,19
BBC,Tue Jun 05 18:02:06 +0000 2018,"👶🥦 If your child's a fussy eater, here are 5 tips from scientist @Dr_C_Llewellyn. https://t.co/MOhdgXa96t",0.0,0.0,1.0,0.0,20
BBC,Tue Jun 05 16:50:46 +0000 2018,RT @BBCTwo: Always wanted to pitch an idea to the stars of #DragonsDen? Well here’s your chance! Reply to this tweet with your best busines…,0.8221,0.281,0.719,0.0,21
BBC,Tue Jun 05 16:31:52 +0000 2018,"💔 Fashion designer Kate Spade, 55, has been found dead in her New York apartment.
👉 https://t.co/ku2uHiO0Nh https://t.co/sg40Mjbb12",-0.6486,0.0,0.777,0.223,22
BBC,Tue Jun 05 16:00:22 +0000 2018,♻️🗑 These protesters want shops to take more responsibility for the overuse of plastic packaging.… https://t.co/C4YX62DYWU,-0.1531,0.076,0.814,0.11,23
BBC,Tue Jun 05 13:01:07 +0000 2018,"❤️😽 This man has vowed to be the best 'cat dad' he can be after finding random kittens under his bed. 
👉… https://t.co/fWsKzfv8s3",0.6369,0.16,0.84,0.0,24
BBC,Tue Jun 05 12:00:22 +0000 2018,"😂 These knitted Poldark dolls are the best!
#TheGNShow https://t.co/Mpc1dWzojg",0.6696,0.36,0.64,0.0,25
BBC,Tue Jun 05 11:12:05 +0000 2018,"RT @BBC_ARoadshow: From artists to explorers, suffragettes to swimmers #antiquesroadshow discovers the pioneering women who have help shape…",0.4019,0.137,0.863,0.0,26
BBC,Tue Jun 05 11:00:07 +0000 2018,"How does plastic actually enter our oceans? 
#WorldEnvironmentDay https://t.co/LdOt9inVFS",0.0,0.0,1.0,0.0,27
BBC,Tue Jun 05 10:45:52 +0000 2018,RT @BBCBreakfast: Have you got yours yet? #gingeremoji https://t.co/hKwIsLspYC,0.0,0.0,1.0,0.0,28
BBC,Tue Jun 05 10:34:07 +0000 2018,RT @bbcthree: 17-year-old Dillon upcycles clothes to help young homeless people feel confident going to school or for job interviews. https…,0.7096,0.237,0.763,0.0,29
BBC,Tue Jun 05 10:31:20 +0000 2018,"RT @BBCNews: ""I was disabled before it was popular.""

@LostVoiceGuy - aka Lee Ridley - is the first comedian to win Britain's Got Talent.…",0.7506,0.242,0.758,0.0,30
BBC,Tue Jun 05 10:21:33 +0000 2018,"🎨🙌 Middle-earth in colour: How Tolkien drew his fantasy universe.
👉 https://t.co/z754byqVpR https://t.co/Jr6PnQWvIU",0.0,0.0,1.0,0.0,31
BBC,Tue Jun 05 09:34:23 +0000 2018,"It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",0.0,0.0,1.0,0.0,32
BBC,Tue Jun 05 08:01:03 +0000 2018,Some of Arthur C Clarke's predictions about the future were bang on... https://t.co/6M7UJv6Mmh,0.0,0.0,1.0,0.0,33
